avgNeg,avgPos,avgTerms,Direction
42,29,13.87804878,0
45,64,12.06666667,1
94,45,11.11538462,1
167,79,11.62711864,0
79,51,10.91176471,0
140,37,10.75,0
281,113,7.04,0
154,93,7.423728814,0
331,176,10.32592593,1
399,126,6.107142857,1
672,324,6.929487179,1
292,180,8.432624113,1
327,154,10.27419355,0
268,223,7.460176991,1
158,51,10.6122449,0
359,238,11.61061947,0
365,247,9.411764706,1
459,245,10.96590909,0
295,198,8.528089888,1
84,33,10.82142857,1
177,118,16.54166667,0
86,70,14.5,1
104,55,10.93650794,0
111,75,10.56097561,0
299,135,12.31914894,1
378,274,9.268041237,0
244,119,7.768421053,1
271,136,7.077586207,1
186,127,8.787878788,1
174,82,9.674418605,0
129,89,7.443037975,0
187,134,8.897727273,1
915,371,5.080139373,0
81,25,12,1
298,143,10.98591549,0
232,174,8.86,0
318,160,11.45614035,0
289,110,8.95890411,1
17,41,12.7037037,0
81,55,15.80357143,0
52,23,13.42857143,1
50,38,11.45098039,0
26,17,14.28571429,1
144,68,11.77192982,0
222,120,9.552941176,0
286,143,7.720720721,1
308,134,7.434782609,0
110,49,8.451612903,1
68,40,8.432835821,0
185,93,8.973333333,1
202,93,10.5,0
149,84,8.62195122,1
586,308,5.793103448,0
55,26,9.754385965,0
120,72,10.30769231,0
106,30,8.925925926,0
145,83,8.419753086,1
289,154,10.45070423,1
102,57,9.106666667,0
162,86,9.362637363,0
85,52,12.18461538,1
77,51,10.28571429,1
72,20,12.89189189,0
131,112,11.54901961,1
101,65,14.45833333,1
91,60,14.57407407,1
203,102,6.513513514,0
40,34,8.946428571,1
213,133,8.813559322,1
314,199,9.382113821,0
475,196,9.406779661,0
311,127,6.238636364,1
874,403,6.769230769,0
357,217,10.2231405,1
426,193,10.07079646,1
587,375,10.90647482,1
336,271,11.21359223,0
95,54,8.360655738,1
255,214,8.017391304,0
300,207,8.060344828,0
416,287,11.00917431,1
152,87,13.14285714,1
126,141,11.89285714,0
117,102,11.25,0
183,110,10.71428571,1
244,111,12.26315789,1
62,30,14.04255319,0
76,51,8.792682927,0
146,94,7.223684211,0
157,119,9.673684211,1
316,161,9.281690141,1
140,69,10.70588235,1
7,11,9.305084746,0
73,50,8.7,0
1146,670,5.211229947,1
276,90,7.613333333,0
198,90,6.698113208,0
53,29,8.413793103,1
94,42,10.19642857,0
186,112,10.58139535,0
